anime_id,title,score,genre
12569,Himitsu no Akko-chan (Movie),6,"Magic, School, Shoujo"
34908,Calihara no Uta,5.56,"Music, Kids"
1586,Aoi Umi no Tristia,5.81,"Adventure, Mecha"
1778,Dae Jang Geum: Jang Geum&#039;s Dream,7.22,"Adventure, Comedy, Historical"
20057,SpaceŠ…æDandy,7.88,"Sci-Fi, Space, Comedy"
6828,Ohi-sama to Kaeru,4.2,Comedy
30347,Nanatsu no Taizai OVA,7.77,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
18893,Aoki Hagane no Arpeggio: Ars Nova,7.5,"Action, Sci-Fi, Seinen"
35334,ClassicaLoid 2nd Season,6.47,"Music, Comedy"
36755,Juvenile Pornography The Animation,6.49,Hentai
2199,Chirin no Suzu,7.17,"Adventure, Drama, Fantasy"
1286,MD Geist II: Death Force,5.13,"Mecha, Military, Sci-Fi"
34561,Re:Creators,7.69,"Action, Sci-Fi, Fantasy"
515,Hajimari no Boukensha-tachi: Legend of Crystania,6.12,"Action, Adventure, Fantasy, Magic, Supernatural"
33907,Magical Music Train,4.7,Music
238,Rekka no Honoo,7.42,"Action, Adventure, Martial Arts, Shounen, Super Power"
5990,Cosmic Fantasy: Ginga Mehyou no Wana,5.63,"Action, Sci-Fi, Space, Comedy, Romance, Fantasy"
27989,Hibike! Euphonium,8.02,"Music, School, Drama"
36838,Gintama.: Shirogane no Tamashii-hen,8.85,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
1200,Gun-dou Musashi,6.06,"Adventure, Samurai, Fantasy"
32644,Yaseruyagi,4.03,
2769,Galactic Patrol Lensman,6.49,"Action, Adventure, Sci-Fi"
24031,Denki-gai no Honya-san,7.27,"Comedy, Seinen, Slice of Life"
37421,MaxValu Kyushu,5,Slice of Life
3975,Uchi no 3 Shimai,6.66,"Comedy, Slice of Life"
29583,Kuroko no Basket: Oshaberi Demo Shimasen ka,7.35,"Comedy, Sports, School, Shounen"
22839,Cross Road,7.5,"Slice of Life, School"
10935,Hourou Musuko Specials,7.7,"Drama, School"
37711,Koi to Uso OVA,0,"Drama, Romance, School"
9880,Esper Mami: Hoshizora no Dancing Doll,6.16,"Fantasy, Shounen"
37435,Carol & Tuesday,0,"Drama, Music, Romance"
14007,"Akai Shouzou: Char, Soshite Frontal e",6.24,"Drama, Mecha, Military, Sci-Fi, Shounen, Space"
17147,Gakkatsu! 2nd Season,6.5,"Comedy, School"
22273,Selector Infected WIXOSS,7.36,"Game, Psychological"
33885,Hane (2016),5.68,Music
11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.28,"Comedy, Ecchi, School, Seinen, Shoujo Ai"
3232,Bannou Bunka Neko-Musume Specials,6.61,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
10250,Ultra B,6.05,"Comedy, Super Power"
15771,SaintŠ…æOniisan (Movie),7.94,"Comedy, Seinen, Slice of Life"
1360,Makai Tenshi Djibril,6.58,Hentai
8986,Supernatural The Animation,7.12,"Action, Demons, Horror, Supernatural"
4590,Soukan Yuugi,6.81,Hentai
3675,Andromeda Stories,5.97,"Action, Drama, Fantasy, Sci-Fi, Space"
33153,Houkago Initiation,6.34,Hentai
33337,ACCA: 13-ku Kansatsu-ka,7.73,"Mystery, Police, Drama, Fantasy, Seinen"
1396,Future GPX Cyber Formula: Early Days Renewal,6.48,"Drama, Sci-Fi, Shounen, Sports"
23855,Dennou Sentai Voogie&#039;sŠ…ÄAngel Gaiden: Susume! SuperŠ…ÄAngels!,5.13,"Action, Comedy, Mecha, Parody, Sci-Fi"
2687,Gokuu no Daibouken,6.49,"Comedy, Fantasy"
34350,Alice to Zouroku,7.2,"Adventure, Mystery, Seinen"
36982,Micchiri Neko,6.84,"Comedy, Kids"
534,Slayers,7.85,"Adventure, Comedy, Demons, Magic, Fantasy"
32032,Seikaisuru Kado,7.01,Sci-Fi
30694,Dragon Ball Super,7.78,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
19889,Genshiken Nidaime Specials,6.92,"Comedy, Parody, Slice of Life"
988,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.28,"Action, Comedy, Historical, Military, Samurai"
14355,Yama no Susume,6.82,"Adventure, Slice of Life, Comedy"
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,7.56,"Action, Fantasy, Hentai"
35240,Princess Principal,7.71,"Action, Mystery, Historical"
10197,Nyanpire The Animation,6.78,"Comedy, Supernatural, Vampire"
15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,6.57,Music
1587,Tenpou Ibun: Ayakashi Ayashi,7,"Supernatural, Demons, Historical"
32621,Pokopon no Yukai na Saiyuuki,5.85,"Adventure, Fantasy, Kids, Magic, Martial Arts"
10588,Persona 4 the Animation,7.63,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
6922,Fate/stay night Movie: Unlimited Blade Works,7.53,"Action, Fantasy, Magic, Supernatural"
17649,Udauda Yatteru Hima wa Nee!,6,"Action, Comedy, School, Shounen"
35781,Boku dake no Hentai Kanojo The Animation,6.26,Hentai
33600,Menghuan Xiyou,6.56,"Action, Adventure, Fantasy, Historical, Magic"
3254,Luv Wave,6.09,"Action, Drama, Hentai, Horror, Mystery, Police, Romance, Sci-Fi"
4851,Lupin III: Seven Days Rhapsody,7.13,"Action, Adventure, Comedy, Seinen"
35759,Sidonia no Kishi 3,0,"Action, Sci-Fi, Space, Mecha, Seinen"
15211,Nazotoki-hime wa MeitanteiŠÈÇ,5.43,"Mystery, Shoujo"
13965,Thermae Romae x LOFT Collaboration,6.1,"Comedy, Historical, Seinen"
6702,Fairy Tail,8.08,"Action, Adventure, Comedy, Magic, Fantasy, Shounen"
34975,Marvel Future Avengers,5.09,"Action, Super Power, Kids"
