anime_id,title,type,episodes,score,rank,popularity,favorites,genre,duration_min
13817,Kamiusagi Rope,Movie,14,5.59,10734,10876,0,"Slice of Life, Comedy",2
25991,Bishoujo Mobage: Mobami-chan,ONA,1,5.41,8524,7729,2,Fantasy,1
5053,Ai City,Movie,1,5.82,7745,5945,8,"Action, Super Power, Sci-Fi",88
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,Special,1,7.98,577,3701,4,"Adventure, Mystery",25
23945,Majimoji Rurumo,TV,12,6.91,3883,1583,48,"Comedy, Magic, Ecchi, Fantasy, School, Shounen",24
1327,Aoki Densetsu Shoot!,TV,58,7.49,1657,3912,58,"Action, Comedy, Drama, Romance, School, Shounen, Sports",25
1236,SF Saiyuuki Starzinger,TV,73,7.21,2792,7442,15,"Adventure, Mecha, Sci-Fi, Shounen, Space",25
13599,Robotics;Notes,TV,22,7.4,2040,645,528,"Sci-Fi, Mystery, Drama, Mecha, School",23
36573,dwarf Movie Lab,ONA,13,3.91,10036,13407,0,Kids,0.65
3466,Kino no Tabi: The Beautiful World - Tou no Kuni,Special,1,7.67,1170,2320,16,"Adventure, Fantasy, Psychological",14
20469,Himeyuri,Movie,1,6.52,5516,9288,0,"Drama, Historical",31
8832,Shounen Ashibe 2,TV,25,5.22,12129,11065,0,"Comedy, Slice of Life",25
37578,Planet With,TV,0,0,,8633,2,"Action, Mecha, Sci-Fi",0
17727,Haitai Nanafa 2nd Season,TV,13,6.09,7113,6370,1,"Comedy, Supernatural",3
31989,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,Movie,1,7.45,1807,3349,12,"Music, School",103
1375,Watashi no Ashinaga Ojisan,TV,40,7.93,646,4122,77,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",23
1918,Mahou Shoujo Pretty Sammy,OVA,3,6.47,5728,4869,12,"Comedy, Parody, Magic, Fantasy",43
6465,Kangoku Senkan,OVA,4,7.08,,4481,134,Hentai,30
21677,Captain Earth,TV,25,6.47,5707,1521,71,"Action, Mecha, Romance, Sci-Fi, Space",24
33236,Committed RED,Music,1,5.7,7991,10842,0,Music,4
16868,Sukitte Ii na yo.: Dareka ga,OVA,1,7.36,2212,1891,25,"Romance, School, Shoujo",23
8243,Mizuki Shigeru no Toono Monogatari,Movie,1,6.45,11294,11468,0,"Adventure, Fantasy",0
9973,Xi Yang Yang Yu Hui Tai Lang: Zhi Hu Hu Sheng Wei,Movie,1,5.72,7960,11233,0,"Adventure, Comedy, Kids",88
27709,Saki Biyori Animation,OVA,1,6.79,4368,6616,3,"Comedy, School, Seinen, Slice of Life",24
2176,Kiddy Grade: Ignition,Movie,1,7.13,3078,5407,5,"Action, Mecha, Sci-Fi, Super Power",84
6591,Rurouni Kenshin DVD-BOX Special Ending,Special,1,7.89,724,3433,60,"Historical, Romance",2
31909,Wakaba*Girl: Onsen Tsukaritai,Special,1,6.99,3622,4643,3,"Comedy, Slice of Life",8
5108,Ryuusei Tenshi Primaveil,OVA,1,5.4,,8757,0,Hentai,30
454,.hack//Gift,OVA,1,6.29,6425,2894,24,"Comedy, Fantasy, Game",26
2965,Suteki Tantei Labyrinth,TV,25,6.86,4088,4200,13,"Mystery, Sci-Fi",23
33580,Hikaru no Gen-chan,Music,1,4.24,10442,13408,0,"Historical, Kids, Music",2
8653,Mahou Shoujo Isuka,OVA,3,6.44,,5717,17,Hentai,30
28999,Charlotte,TV,13,7.92,654,72,9561,"Drama, School, Super Power",24
33999,Sugar Bunnies Chocolate! Specials,Special,2,6.25,12282,13054,0,Kids,8
6421,Fullmetal Alchemist: Brotherhood Specials,Special,4,8.1,435,957,167,"Military, Adventure, Drama, Magic, Fantasy, Shounen",15
33672,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,Movie,1,7.46,1766,8673,3,"Adventure, Comedy, Kids, Fantasy, Shounen",101
6868,Wansa-kun,TV,26,6.18,12635,10485,0,Comedy,25
7276,Natsumushi The Animation,OVA,2,6.66,,5366,11,Hentai,30
10714,Towa no Quon 3: Mugen no Renza,Movie,1,7.6,1365,2413,16,"Action, Super Power, Psychological, Supernatural",48
5196,Aria The Origination Picture Drama,Special,7,7.21,2761,4017,9,"Fantasy, Sci-Fi, Shounen, Slice of Life",7
2648,Doraemon: 2112-nen Doraemon Tanjou,Movie,1,7.36,2178,7190,5,"Kids, Fantasy, Comedy",30
31144,Mottainai,Special,1,6.56,5382,5941,6,Slice of Life,0.5
29809,3Ping Lovers!???Ippu Nisai no Sekai e Youkoso??? The Animation,OVA,1,7.07,,4439,61,Hentai,31
3769,Play Ball 2nd,TV,13,6.26,11780,10647,0,"Action, Sports, Shounen",24
35128,Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,OVA,1,5.79,12489,10884,0,"Drama, Kids",13
9211,Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,OVA,1,5.69,,7202,4,Hentai,17
35182,Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!,OVA,1,6.85,4098,5269,11,"Slice of Life, Comedy, Parody, Magic, School",56
37305,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,Movie,1,0,,8476,3,"Action, Super Power, Supernatural",0
84,Mobile Suit Gundam 0083: Stardust Memory,OVA,13,7.42,1943,2362,186,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",30
2420,Spirit of Wonder: Shounen Kagaku Club,OVA,2,6.78,4424,6783,1,"Drama, Sci-Fi, Seinen, Space",30
23225,Yuru Yuri Nachuyachumi!,OVA,1,7.95,624,1751,113,"Comedy, Shoujo Ai, Slice of Life",63
21129,Youtai Nuhai Zai Shanghai,Movie,1,6.17,12787,11709,0,"Historical, Kids, Shoujo",80
32058,Four Seasons: Fuuka to Nanami,ONA,1,5.22,8795,9068,2,Cars,4
4938,Tsubasa: Shunraiki,OVA,2,8.21,310,1616,281,"Action, Adventure, Mystery, Supernatural, Drama, Magic, Romance, Fantasy, Shounen",29
7616,Michi,Movie,4,7.36,11235,10719,2,Drama,13
2262,Sin: The Movie,OVA,1,5.22,8801,5556,1,"Action, Sci-Fi, Horror, Police, Supernatural",55
629,Mahoutsukai Tai! OVA,OVA,6,7.22,2733,4743,18,"Comedy, Fantasy, Magic, Romance, Sci-Fi",28
37290,Ani x Para,Special,2,5.77,9602,13918,0,Sports,5
22815,Yariman Fudousan,OVA,2,6.02,,6903,4,Hentai,18
2577,Tom Sawyer no Bouken,TV,49,7.15,3017,5769,15,"Adventure, Drama, Historical, Slice of Life",25
2185,Words Worth Gaiden,OVA,2,5.93,,6067,11,"Action, Adventure, Fantasy, Hentai",27
37188,Fumikiri Jikan,TV,0,6.33,6264,3169,6,"Comedy, Slice of Life",3
28351,Hikari no Megami,Special,1,6.66,4932,5482,7,"Action, Fantasy",2
21547,Shin Choubakumatsu Shounen Seiki Takamaru,OVA,6,5.13,12060,12649,0,"Action, Comedy, Fantasy",30
37207,Zuo Ri Qing Kong,Movie,1,0,,8387,0,"Slice of Life, Drama, Romance, School",0
266,Gunparade March: Arata Naru Kougunka,TV,12,6.9,3913,3471,22,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",23
1878,Kaze no Shoujo Emily,TV,26,7.54,1529,5426,9,"Historical, Drama, Shoujo",25
3019,Lupin III: Kiri no Elusive,Special,1,6.99,3605,5736,0,"Action, Adventure, Mystery, Comedy, Seinen",92
23439,Toki wa Meguru: Tokyo Station,ONA,1,6.68,4863,5591,4,Slice of Life,5
